,date,vehicle_category,maker,electric_vehicles_sold,fiscal_year,quarter
743,2024-01-01,2-Wheelers,BATTRE ELECTRIC,284,2024,Q4
744,2024-01-01,2-Wheelers,KINETIC GREEN,810,2024,Q4
745,2024-01-01,2-Wheelers,REVOLT,524,2024,Q4
746,2024-01-01,2-Wheelers,OTHERS,6664,2024,Q4
757,2024-02-01,2-Wheelers,OLA ELECTRIC,33967,2024,Q4
758,2024-02-01,2-Wheelers,TVS,14431,2024,Q4
759,2024-02-01,2-Wheelers,ATHER,8957,2024,Q4
760,2024-02-01,2-Wheelers,BAJAJ,11603,2024,Q4
761,2024-02-01,2-Wheelers,AMPERE,2577,2024,Q4
762,2024-02-01,2-Wheelers,OKINAWA,652,2024,Q4
763,2024-02-01,2-Wheelers,HERO ELECTRIC,323,2024,Q4
764,2024-02-01,2-Wheelers,OKAYA EV,649,2024,Q4
765,2024-02-01,2-Wheelers,BGAUSS,1334,2024,Q4
766,2024-02-01,2-Wheelers,BATTRE ELECTRIC,219,2024,Q4
767,2024-02-01,2-Wheelers,KINETIC GREEN,624,2024,Q4
768,2024-02-01,2-Wheelers,REVOLT,473,2024,Q4
769,2024-02-01,2-Wheelers,OTHERS,6154,2024,Q4
780,2023-03-01,2-Wheelers,OLA ELECTRIC,22398,2023,Q4
781,2023-03-01,2-Wheelers,OKINAWA,4509,2023,Q4
782,2023-03-01,2-Wheelers,HERO ELECTRIC,6661,2023,Q4
783,2023-03-01,2-Wheelers,AMPERE,9736,2023,Q4
784,2023-03-01,2-Wheelers,TVS,16896,2023,Q4
785,2023-03-01,2-Wheelers,ATHER,12180,2023,Q4
786,2023-03-01,2-Wheelers,BAJAJ,4552,2023,Q4
787,2023-03-01,2-Wheelers,OKAYA EV,1765,2023,Q4
788,2023-03-01,2-Wheelers,REVOLT,1140,2023,Q4
789,2023-03-01,2-Wheelers,PURE EV,584,2023,Q4
790,2023-03-01,2-Wheelers,BEING,446,2023,Q4
791,2023-03-01,2-Wheelers,JITENDRA,350,2023,Q4
792,2023-03-01,2-Wheelers,OTHERS,5089,2023,Q4
803,2024-03-01,2-Wheelers,OLA ELECTRIC,44630,2024,Q4
804,2024-03-01,2-Wheelers,TVS,26158,2024,Q4
805,2024-03-01,2-Wheelers,ATHER,17012,2024,Q4
806,2024-03-01,2-Wheelers,BAJAJ,17716,2024,Q4
807,2024-03-01,2-Wheelers,AMPERE,3108,2024,Q4
808,2024-03-01,2-Wheelers,OKINAWA,673,2024,Q4
809,2024-03-01,2-Wheelers,HERO ELECTRIC,316,2024,Q4
810,2024-03-01,2-Wheelers,OKAYA EV,1218,2024,Q4
811,2024-03-01,2-Wheelers,BGAUSS,3070,2024,Q4
812,2024-03-01,2-Wheelers,BATTRE ELECTRIC,625,2024,Q4
813,2024-03-01,2-Wheelers,KINETIC GREEN,3915,2024,Q4
814,2024-03-01,2-Wheelers,REVOLT,585,2024,Q4
815,2024-03-01,2-Wheelers,OTHERS,10579,2024,Q4
