,date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
161,2021-08-01,Meghalaya,2-Wheelers,0,1041
162,2021-08-01,Meghalaya,4-Wheelers,0,826
163,2021-08-01,Mizoram,2-Wheelers,0,1057
164,2021-08-01,Mizoram,4-Wheelers,0,240
165,2021-08-01,Nagaland,2-Wheelers,0,577
166,2021-08-01,Nagaland,4-Wheelers,0,763
167,2021-08-01,Tripura,2-Wheelers,0,2462
168,2021-08-01,Tripura,4-Wheelers,0,462
169,2021-09-01,Andaman & Nicobar Island,2-Wheelers,0,329
170,2021-09-01,Andaman & Nicobar Island,4-Wheelers,0,87
171,2021-09-01,Arunachal Pradesh,2-Wheelers,0,1260
172,2021-09-01,Arunachal Pradesh,4-Wheelers,0,637
173,2021-09-01,Assam,4-Wheelers,0,6036
174,2021-09-01,DNH and DD,4-Wheelers,0,348
175,2021-09-01,Ladakh,2-Wheelers,0,26
176,2021-09-01,Ladakh,4-Wheelers,0,444
177,2021-09-01,Manipur,2-Wheelers,0,3492
178,2021-09-01,Manipur,4-Wheelers,0,1202
179,2021-09-01,Meghalaya,2-Wheelers,0,1396
180,2021-09-01,Meghalaya,4-Wheelers,0,905
181,2021-09-01,Mizoram,2-Wheelers,0,1465
182,2021-09-01,Mizoram,4-Wheelers,0,264
183,2021-09-01,Nagaland,4-Wheelers,0,681
184,2021-09-01,Tripura,2-Wheelers,0,2736
185,2021-09-01,Tripura,4-Wheelers,0,403
186,2021-10-01,Andaman & Nicobar Island,2-Wheelers,0,360
187,2021-10-01,Arunachal Pradesh,2-Wheelers,0,1109
188,2021-10-01,Arunachal Pradesh,4-Wheelers,0,570
189,2021-10-01,Assam,4-Wheelers,0,5877
190,2021-10-01,Ladakh,4-Wheelers,0,289
191,2021-10-01,Manipur,4-Wheelers,0,916
192,2021-10-01,Meghalaya,2-Wheelers,0,1414
193,2021-10-01,Meghalaya,4-Wheelers,0,722
194,2021-10-01,Mizoram,2-Wheelers,0,1886
195,2021-10-01,Mizoram,4-Wheelers,0,283
196,2021-10-01,Nagaland,2-Wheelers,0,650
197,2021-10-01,Nagaland,4-Wheelers,0,567
198,2021-10-01,Puducherry,4-Wheelers,0,609
199,2021-10-01,Tripura,2-Wheelers,0,3015
200,2021-10-01,Tripura,4-Wheelers,0,366
201,2021-11-01,Andaman & Nicobar Island,2-Wheelers,0,413
202,2021-11-01,Andaman & Nicobar Island,4-Wheelers,0,125
203,2021-11-01,Arunachal Pradesh,2-Wheelers,0,1262
204,2021-11-01,Arunachal Pradesh,4-Wheelers,0,646
205,2021-11-01,Assam,4-Wheelers,0,5618
206,2021-11-01,DNH and DD,4-Wheelers,0,330
207,2021-11-01,Himachal Pradesh,4-Wheelers,0,4496
208,2021-11-01,Jammu and Kashmir,4-Wheelers,0,4709
209,2021-11-01,Ladakh,2-Wheelers,0,28
210,2021-11-01,Ladakh,4-Wheelers,0,287
211,2021-11-01,Manipur,4-Wheelers,0,875
212,2021-11-01,Meghalaya,2-Wheelers,0,1442
213,2021-11-01,Meghalaya,4-Wheelers,0,806
214,2021-11-01,Mizoram,2-Wheelers,0,1820
215,2021-11-01,Mizoram,4-Wheelers,0,328
216,2021-11-01,Nagaland,2-Wheelers,0,592
217,2021-11-01,Nagaland,4-Wheelers,0,692
218,2021-11-01,Tripura,2-Wheelers,0,3843
219,2021-11-01,Tripura,4-Wheelers,0,326
220,2021-12-01,Andaman & Nicobar Island,2-Wheelers,0,376
221,2021-12-01,Arunachal Pradesh,2-Wheelers,0,1036
222,2021-12-01,Arunachal Pradesh,4-Wheelers,0,709
223,2021-12-01,Jammu and Kashmir,4-Wheelers,0,5306
224,2021-12-01,Ladakh,2-Wheelers,0,15
225,2021-12-01,Ladakh,4-Wheelers,0,167
226,2021-12-01,Manipur,4-Wheelers,0,849
227,2021-12-01,Meghalaya,2-Wheelers,0,1101
228,2021-12-01,Meghalaya,4-Wheelers,0,888
229,2021-12-01,Mizoram,2-Wheelers,0,1740
230,2021-12-01,Mizoram,4-Wheelers,0,376
231,2021-12-01,Nagaland,2-Wheelers,0,353
232,2021-12-01,Nagaland,4-Wheelers,0,540
233,2021-12-01,Tripura,4-Wheelers,0,352
234,2022-01-01,Andaman & Nicobar Island,2-Wheelers,0,336
235,2022-01-01,Andaman & Nicobar Island,4-Wheelers,0,90
236,2022-01-01,Arunachal Pradesh,2-Wheelers,0,950
237,2022-01-01,Arunachal Pradesh,4-Wheelers,0,766
238,2022-01-01,Assam,4-Wheelers,0,5550
239,2022-01-01,DNH and DD,4-Wheelers,0,358
240,2022-01-01,Jammu and Kashmir,4-Wheelers,0,3963
241,2022-01-01,Ladakh,4-Wheelers,0,150
242,2022-01-01,Manipur,4-Wheelers,0,687
243,2022-01-01,Meghalaya,2-Wheelers,0,1112
244,2022-01-01,Meghalaya,4-Wheelers,0,1063
245,2022-01-01,Mizoram,2-Wheelers,0,1387
246,2022-01-01,Mizoram,4-Wheelers,0,311
247,2022-01-01,Nagaland,2-Wheelers,0,410
248,2022-01-01,Nagaland,4-Wheelers,0,722
249,2022-01-01,Puducherry,4-Wheelers,0,758
250,2022-01-01,Tripura,4-Wheelers,0,394
251,2022-02-01,Andaman & Nicobar Island,2-Wheelers,0,388
252,2022-02-01,Andaman & Nicobar Island,4-Wheelers,0,112
253,2022-02-01,Arunachal Pradesh,2-Wheelers,0,858
254,2022-02-01,Arunachal Pradesh,4-Wheelers,0,671
255,2022-02-01,Ladakh,2-Wheelers,0,15
256,2022-02-01,Ladakh,4-Wheelers,0,44
257,2022-02-01,Manipur,4-Wheelers,0,834
258,2022-02-01,Meghalaya,2-Wheelers,0,1145
259,2022-02-01,Mizoram,2-Wheelers,0,1599
260,2022-02-01,Mizoram,4-Wheelers,0,354
261,2022-02-01,Nagaland,2-Wheelers,0,504
262,2022-02-01,Nagaland,4-Wheelers,0,773
263,2022-02-01,Puducherry,4-Wheelers,0,622
264,2022-02-01,Tripura,4-Wheelers,0,340
265,2022-03-01,Andaman & Nicobar Island,2-Wheelers,0,383
266,2022-03-01,Arunachal Pradesh,2-Wheelers,0,1111
267,2022-03-01,Arunachal Pradesh,4-Wheelers,0,679
268,2022-03-01,Ladakh,2-Wheelers,0,49
269,2022-03-01,Ladakh,4-Wheelers,0,49
270,2022-03-01,Manipur,4-Wheelers,0,717
